company_name;location;logo;title;Category;description;requirement;updated_at;contract_type;url
Indochina Starfish Foundation (ISF);Phnom Penh;https://media.everjobs.com.kh/storage//company/34/2434/image//isf.jpg;Financial Manager;Accounting / Finance ;+ Accountability and Relationship:<br/>- Reports directly to the Country Manager<br/>- Works collaboratively on a daily basis with the Development Team and the Deputy Country Manager<br/>- Is part of a team consisting of all the staff who work for ISF<br/><br/>+ Duties and Key Responsibilities:<br/>- Assist the Board of Trustees and Country Manager (CM) in the financial oversight of ISF and financial reporting,<br/>- Deliver continuous improvement to existing financial processes and develop new financial and management processes, as required, to meet the specific needs of NGO financial management,<br/>- Maintaining full accountancy records of all income and expenditure of the ISF program including but not limited to: preparing payment and receipts for any relevant transactions, maintaining the daily petty cash and bank book, preparing cheques and payment for any expense, and preparing PO forms for staff requests,<br/>- Responsible for the delivery of appropriate, accurate and understandable financial information to ISF donors in line with their requirements and in a timely manner, including final approval of all donor budget v actual reports prior to issue,<br/>- Responsible for the control of all donor budget proposals, ensuring alignment to the ISF budget,<br/>- Responsible for ISF cash flow forecasts, based on discussion with the Development Team regarding the funding pipeline,<br/>- Working with the CM, Operations and Development staff, to monitor the financial performance and position of ISF and project expenditure to ensure compliance with income/expenditure/budget and funding agreements,<br/>- Responsible for working with the Administration Officer/bookkeeper to process and pay monthly payroll, including tax and bonuses, before the end of each month,<br/>- Responsible for preparing for and coordinating tasks as required for the annual external audit,;+ Essential<br/>- Recognised accounting training and qualification<br/>- Knowledge and experience of SAGE or similar software<br/>- A positive approach to challenges, and a consultative manner<br/>- Ability and willingness to work as part of a multicultural team<br/>- Excellent interpersonal and communication skills<br/>- Honest and trustworthy<br/>- Languages: Khmer and English<br/><br/>+ Desirable<br/>- Experience in NGO financial management systems<br/>- Experience in budgeting and cash forecasting<br/>- 5 years’ experience in financial management<br/><br/>* Salary: $1200-1300;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/indochina-starfish-foundation-isf/financial-manager-9.html
Shukaku Inc;Phnom Penh;https://media.everjobs.com.kh/storage//company/35/3335/image//shukaku_logo-high-res-1.jpg;Accountant/ Senior Accountant (For CIIDG Group);Accounting / Finance ;Main responsibility will be as the Accountant for the Finance Department and report directly to the Director. Your responsibilities includes the following:<br/>• Responsible for all the daily book keeping and accounting entries into the accounting system.<br/>• Perform monthly bank reconciliations, accounts payable ledger and accounts receivable ledger.<br/>• Preparation of monthly tax declaration.<br/>• Assist in the preparation of monthly financial statements and management reports.;Be results oriented, providing support as required to the Director, and you must have a demonstrated ability to effectively prioritize work flows in an orderly manner and be multi-task oriented.;04 July 2016;Full time, Contract;https://www.everjobs.com.kh/en/employer/shukaku-inc/accountant-senior-accountant-for-ciidg-group.html
Destination Resorts Co., Ltd;Thailand;https://media.everjobs.com.kh/storage//company/18/3818/image//destination.png;Chief Accountant;Accounting / Finance ;- Accountabilities:<br/>- Ensuring Report Delivery Deadlines - Submitting reports in a timely manner, ensuring delivery deadlines.<br/>- Ensuring P&L Accuracy - Ensuring profits and losses are documented accurately.<br/>- Communicating with Supervisors, Peers, or Subordinates - Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.<br/>- Demonstrating Leadership - Utilizing interpersonal and communication skills to lead, influence, and encourage others, advocates sound financial/business decision making, demonstrates honesty/integrity, leads by example.<br/>- Achieving/Exceeding Goals - Achieving and exceeding goals including performance goals, budget goals, team goals, etc.<br/>- Demonstrating Knowledge - Demonstrating knowledge of job-relevant issues, products, systems, and processes.<br/>- Interacting With Computers - Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.<br/>- Organizing, Planning, and Prioritizing Work - Developing specific goals and plans to prioritize, organize, and accomplish your work.<br/>- Generating and Delivering Accurate and Timely Results - Generating and providing accurate and timely results in the form of reports, presentations, etc.<br/>- Making Decisions and Solving Problems - Analyzing information and evaluating results to choose the best solution and solve problems.<br/>- Communicating Information Timely - Informing and/or updating the executives, the peers and the subordinates on relevant information in a timely manner.<br/>- Ensuring that All Taxes are Current, Collected and/or Accrued - Monitoring all taxes that apply, ensuring that taxes are current, collected and/or accrued.<br/>- Processing Information - Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.<br/>- Evaluating Information to Determine Compliance with Standards - Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.<br/>- Updating and Using Relevant Knowledge - Keeping up-to-date technically and applying new knowledge to your job.<br/><br/>- Responsibilities:<br/>- Ensures that the P&L is accurate (i.e., costs are properly matched to revenue, costs are recorded in the proper accounts) and statements are delivered to appropriate individuals in a timely manner.<br/>- Reconciles balance sheet.<br/>- Ensures all the tasks in every area of Accounting is completed on a daily basis.<br/>- Maintains a strong accounting & operational control environment to safeguard assets, improve operations and profitability and manage business risks.<br/>- Oversees internal, external and regulatory audit processes.<br/>- Ensures tax rates used for sales/use tax are current and proper amounts are collected and/or accrued.<br/>- Utilizes an "open door" policy.<br/>- Ensures compliance with standard and local operating procedures (SOPs and LSOPs).<br/>- Ensures account balances are supported by appropriate documentation in accordance with SOPs.<br/>- Reviews audit issues and makes corrections as necessary.<br/>- Ensures that regular on-going communication occurs with associates to create awareness of business objectives, communicate expectations, and recognize performance.<br/>- Celebrates successes by publicly recognizing the contributions of team members.<br/>- Ensures hotel policies are administered fairly and consistently.<br/>- Leverages technology and effectively uses information systems and tools to generate financial reports and provide managers with analytical support to drive decision-making.<br/>- Establishes and maintains open, collaborative relationships with associates.<br/>- Ensures disciplinary procedures and documentation are completed according to Standard and Local Operating Procedures (SOPs and LSOPs) and support the Peer Review Process.<br/>- Provides excellent leadership (e.g., differentiates top performers, fosters teamwork and encourages work/life balance).<br/>- Participates in the associate performance appraisal process, providing feedback as needed.<br/>- Attends critique meetings to review information with management team.<br/>- Ensures associates establish and maintain open, collaborative relationships within their team.<br/>- Advises the Director of Finance on existing and evolving operating/financial issues.<br/>- Communicates financial concepts in a clear and persuasive manner that is easy to understand and drives desired behaviors.<br/>- Solicits associate feedback.<br/>- Leverages centralized accounting processes and shared services.;- Knowledge, Skills & Abilities:<br/>- Mathematics - Using mathematics to solve problems.<br/>- Basic Computer Skills - Using basic computer hardware and software (e.g., personal computers, word processing software, Internet browsers, etc.).<br/>- Reading Comprehension - Understanding written sentences and paragraphs in work related documents.<br/>- Number Facility - The ability to add, subtract, multiply, or divide quickly and correctly.<br/>- Writing - Communicating effectively in writing as appropriate for the needs of the audience.<br/>- Economics and Accounting - Knowledge of economic and accounting principles and practices, P&L statements, operating budgets, forecasting and scheduling, and the reporting of financial data.<br/>- Oral Comprehension - The ability to listen to and understand information and ideas presented through spoken words and sentences.<br/>- Management of Financial Resources - Determining how money will be spent to get the work done, and accounting for these expenditures.<br/>- Analytical/Critical Thinking - The ability to gather and organize information using a logical and systematic process, recognize patterns and relationships in complex data, examine data to identify implications, problems and draw appropriate conclusions, generate alternative solutions to problems, evaluate strengths, weaknesses and consequences of alternative solutions and approaches to solving problems.<br/><br/>- Qualifications:<br/>- 4-year bachelor's degree in Finance and Accounting or related major, no work experience required.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/destination-resorts-co-ltd/chief-accountant-27.html
UNG NGiM Distribution;Phnom Penh;https://media.everjobs.com.kh/storage//company/33/3833/image//ung-ngim.jpg;Stock Keeper;Accounting / Finance ;- Stock in & Stock out controller;- Able to use computer(Microsoft word & excel)<br/>- Dynamic & honestly;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/ung-ngim-distribution/stock-keeper-39.html
Hongkong Land (Premium Investments) Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/04/604/image//hkl_english-left.jpg;Assistant Accountant;Accounting / Finance ;- Billing & credit Control<br/>- Issue invoice or/and credit memo to customer accurately and on time.<br/>- Issue, monitor and update customer statements and reminding letter to ensure timely collection.<br/>- Ensure completeness and proper documentation of invoices and receipts with proper listing/check list.<br/>- Control and update credit status and timely alert to Accounting Manager and relevant staff as appropriate collection reminder.<br/>- Prepare AR aging report with commentary regularly.<br/>- Monitor approved rate card and corporate rate agreement against actual leases.<br/>- Record and prepare list of leasing risk and review against approved rate card, corporate rate agreements and leasing P&P.<br/>- Perform Rental income, services charge reconciliation with commentary.<br/>- Perform electricity income reconciliation and analysis.<br/>- Timely update and reconcile tenant deposit and prepaid income with proper check list.<br/>- Facilitate and provide supporting document for refund deposit.<br/>- Facilitate and provide supporting document for commission fee to agent.<br/>- Facilitate and provide supporting document for breakfast coupon for short stay.<br/>- Ensure completeness and proper documentation of the functions.<br/>- Other duties as required by Accounting Manager.;- Possess bachelor degree in Accounting or related field.<br/>- Minimum 2 year experiences in Accounting<br/>- Good interpersonal skills, accountable, initiative driven, and proactive.<br/>- Good English speaking and writing skill<br/>- Good computer skill including computerised accounting system, and Microsoft Office applications such as Word, Excel, Outlook etc.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/hongkong-land-premium-investments-limited/assistant-accountant-29.html
Gang San Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/05/2005/image//283385_258641864164171_5462466_n.jpg;Accountant Supervisor;Accounting / Finance ;- Prepare accounting policy and procedure<br/>- Manage daily and monthly operation of accounting department<br/>- Analyze and examine accounting data<br/>- Prepare financial report<br/>- Prepare documents for tax declaration<br/>- Coordinate with other department<br/>- Develop, maintenance and analyze budgets plan;- Female<br/>- 27 years old and above<br/>- Experience more than 4 years<br/>- English language<br/>- Graduate bachelor degree in accounting or finance<br/>- Computer on MS office and accounting software<br/>- High attention to detail and accuracy<br/>- Ability to lead other member<br/>- Good attitude<br/>- Good personality;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/gang-san-co-ltd-1/accountant-supervisor-10.html
SUN & MOON, Urban Hotel;Phnom Penh;https://media.everjobs.com.kh/storage//company/86/686/image//sun-moon-hotel-2.jpg;Fixed Asset Officer;Accounting / Finance ;- To implement the parameter for scope of job responsibility and accountability for all position in conjunction with the established Company's organization chart.<br/>- To define job function specification within the organization, the department and individual section.<br/>- To regulate the general work procedures and inter-departmental work flow in order to achieve a smooth and speedy operation<br/><br/>- Main Duties:<br/>- Financial<br/>- To Collate and update the daily fixed assets with supporting documents and enter into the computer (Accounting Software).<br/>- To make sure all asset items are registered with proper tagging of its code based on each category and classification.<br/>- To record the losses and damaged of operating equipment by department and report to department concerned for acknowledgement and action.<br/>- To record and update all daily transaction and reporting monthly report to cost controller.<br/>- To check the actual FA & OE at outlets assigned/scheduled by chief accountant.<br/>- Surprise counts or random counts can be performed at any time at a location where it is believed that assets are not being treated appropriately.<br/>- Helping to issue items in store to outlets and receive daily goods delivered by suppliers during the absence of Store Keeper/Receiving Officer.<br/><br/>- Administration<br/>- To maintain organized files of all pertinent Fixed Asset and Operating Equipment records.<br/>- To ensure actual FA & OE are correct allocating.<br/><br/>- General<br/>- To provide courteous and professional service and to maintain good working relationship with all colleagues throughout the outlets.<br/>- To have a complete understanding of the company’s policies and procedures and to adhered to them.<br/>- To have a complete understanding of the company’s policy relating to fire, safety and health.<br/>- To count the actual inventory.<br/>- To have multi task in department.<br/>- To carry out any other reasonable duties and responsibilities as assigned.;- 2 or 3 year experience of fixed asset.<br/>- Bachelor's degree in accounting preferred or related filed.<br/>- Must be able to communicate in English.<br/>- Able and willing to work cooperatively with other team members.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/sun-moon-urban-hotel/fixed-asset-oe-officer.html
Sin Veng Yu Coffee Company;Phnom Penh;https://media.everjobs.com.kh/storage//company/04/3704/image//10459052_707434119304416_6663182028648397492_o.jpg;Accountant;Accounting / Finance ;Report daily, weekly and monthly cash flow report to CEO<br/>Bank control and reconcile for cash management, accounts payable, accounts receivable, and credit control<br/>Prepare monthly and yearly financial statements<br/>Prepare monthly staff payroll & process<br/>Ensure that all required information and documents are well-prepared and available for auditing to avoid faults<br/>Control Fixed Assets and register<br/>Maintain up to date filling documentation<br/>Tax declaration, prepare tax document, tax filling (if any)<br/>Deal with Tax Officer for any tax issues (if any)<br/>Inventory Control<br/>Setting Quick Book Accounting and Quick book POS & update on this system (if any)<br/>Report to the CEO on all company financial and admin matters<br/>Other duties as assigned by the CEO;BA degree in Accounting, or any other related professional.<br/>Prefer FEMALE (Cambodian nationality)<br/>At least 2-3 years accounting experiences<br/>Have experience in Tax or Auditing is a plus.<br/>Knowledge of Quick Book.<br/>Knowledge of Ms. Office.<br/>Self-motivated and initiative, willing to self-update on current accounting development.<br/>Honest and hard-working.<br/>Good in English. Knowing Vietnamese is a plus (but it’s not a must)<br/>Accuracy and attention to detail, confidentiality and organized in work<br/>Salary on negotiation base on experience/capacity<br/>Support lunch everyday on working time from Mon-Fri & other benefits on interview.;04 July 2016;Full time, Contract;https://www.everjobs.com.kh/en/employer/sin-veng-yu-coffee-company/accountant-573.html
Sin Veng Yu Coffee Company;Phnom Penh;https://media.everjobs.com.kh/storage//company/04/3704/image//10459052_707434119304416_6663182028648397492_o.jpg;Finance Officer;Accounting / Finance ;- Handle tax declaration,<br/>- Handle auditions,<br/>- Contact with Department of Commerce,<br/>- Deal with financial report,<br/>- Deal with financial statement,<br/>- Control company fixed asset,<br/>- Handle bank reconciliation,<br/>- Deal with cash flow report,<br/>- Verity AR and AP,<br/>- Verify accounting team performance,<br/>- Fulfill other tasks assigned.;- Hold Bachelor Degree in related field or equivalent,<br/>- Have at least tow-year experience in Accounting and Finance or equivalent,<br/>- Have strong sense of analysis and strong sense of team spirit,<br/>- Flexible, serious, meticulous, attentive, sensible and sociable.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/sin-veng-yu-coffee-company/finance-officer-44.html
SAMIC PLC;Kampot;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;Team Leader (various positions);Accounting / Finance ;- Supervise team on daily implementation of plan of action (POA) of the branch including promotion, loan assessment, validation, and monitoring,<br/>- Regularly check the daily activities of credit officers and monitor their productivities to discover their weaknesses toward improvement and encouragement,<br/>- Regularly coach, train and build Credit Officers’ competencies to make sure they all understand well on their role and responsibilities in accordance with policies, procedures, instructions, administrations, especially the selling techniques and quality client recruitment. Team Leader should give advice and consultation always,<br/>- Regularly check on Cashier and Teller performance to make sure the accounting records are accurate and on time. Guide and advice Cashier and Teller in implementing their daily duties and responsibilities with high effectively,<br/>- Ensure 100% of clients were checked the utilization of loans and recommend the findings to ensure no irregularities and unexpected risks occurring,<br/>- Evaluate the performance of Credit Officers on a semi-annual and annually basis and report to DPM/DBM,<br/>- Participate and lead sales promotion and sales activities for SAMIC’s products/ services to the target clients and check the readiness, quality and tactics of their sales promotion,<br/>- Conduct field research and assign Credit Officer to research on the client’s satisfaction survey, Strengths, Weakness, Opportunities, and Threats (SWOT) analysis of SAMIC’s competitors and report to DPM/DBM with the proposed strategies and changes,<br/>- Propose initiative and positive strategies, and tactics for quality management and higher productivities to DPM/DBM,<br/>- Build business discipline and SAMIC’s representative with the staff to communicate SAMIC’s identity with SAMIC’s client, authorities, partners and other stakeholders,<br/>- Review, assess and approve loans according to the delegated authority,<br/>- Perform other task as may be assigned by the DPM/DBM,;;04 July 2016;;https://www.everjobs.com.kh/en/employer/samic-plc/team-leader-various-positions-1.html
